sensor_id,plant_id,timestamp,power_consumption,voltage,current,temperature,power_factor,frequency,is_anomaly
SENSOR_B02,PLANT_B,2026-06-28T22:26:47.916794Z,217.36,221.47,1.46,55.21,0.861,49.92,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:47.916794Z,248.41,219.7,0.67,57.83,0.864,50.04,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:47.916794Z,113.46,219.65,0.22,46.61,0.873,50.0,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:47.916794Z,109.59,218.47,0.01,45.96,0.852,49.95,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:48.921064Z,474.87,218.89,2.5,65.28,0.867,50.03,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:48.921064Z,986.71,220.54,4.61,63.74,0.885,49.98,1
SENSOR_A03,PLANT_A,2026-06-28T22:26:48.921064Z,1127.83,219.37,5.04,67.58,0.855,50.06,1
SENSOR_A04,PLANT_A,2026-06-28T22:26:48.921064Z,437.83,219.59,1.5,61.16,0.869,50.01,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:48.921064Z,478.77,221.82,2.52,68.31,0.888,50.02,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:48.921064Z,235.2,218.09,1.14,58.15,0.855,50.02,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:48.921064Z,218.24,219.28,1.26,53.72,0.87,50.03,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:48.921064Z,250.15,221.45,1.02,59.71,0.851,49.99,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:48.921064Z,105.39,221.0,0.83,46.95,0.864,50.08,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:48.921064Z,94.69,140.12,0.19,45.72,0.881,50.06,1
SENSOR_A01,PLANT_A,2026-06-28T22:26:49.923549Z,468.42,219.19,2.4,67.56,0.871,50.04,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:49.923549Z,465.8,218.32,2.61,63.07,0.858,50.08,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:49.923549Z,502.55,219.71,2.76,68.35,0.875,50.05,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:49.923549Z,441.98,221.01,2.4,61.75,0.857,49.91,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:49.923549Z,488.88,220.99,2.42,68.24,0.871,50.0,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:49.923549Z,229.29,221.63,0.6,57.88,0.868,49.92,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:49.923549Z,224.75,221.67,1.07,56.11,0.86,50.02,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:49.923549Z,266.3,221.6,1.51,60.07,0.87,50.0,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:49.923549Z,108.18,221.16,0.02,47.75,0.854,49.93,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:49.923549Z,99.13,221.06,0.6,46.63,0.854,50.09,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:50.925720Z,481.63,220.73,2.19,68.38,0.864,49.96,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:50.925720Z,456.36,219.58,1.9,65.29,0.862,50.03,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:50.925720Z,484.0,221.94,2.4,68.05,0.861,50.07,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:50.925720Z,438.93,218.76,1.84,61.87,0.852,49.93,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:50.925720Z,479.37,219.22,1.73,66.96,0.884,50.07,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:50.925720Z,238.86,220.25,0.67,55.93,0.86,49.93,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:50.925720Z,218.06,220.24,1.04,54.87,0.865,50.06,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:50.925720Z,249.0,219.73,0.93,59.88,0.88,49.92,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:50.925720Z,115.81,220.24,0.91,48.12,0.867,50.08,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:50.925720Z,95.37,221.11,0.02,44.55,0.879,49.91,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:51.932401Z,479.43,220.87,2.35,64.9,0.883,49.9,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:51.932401Z,459.8,218.17,2.0,64.66,0.861,49.91,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:51.932401Z,665.45,219.2,2.2,119.15,0.867,49.92,1
SENSOR_A04,PLANT_A,2026-06-28T22:26:51.932401Z,440.32,219.75,1.81,60.03,0.852,50.02,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:51.932401Z,481.09,219.63,1.92,66.84,0.872,49.92,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:51.932401Z,240.87,220.5,0.62,58.42,0.87,49.99,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:51.932401Z,217.03,220.78,1.26,55.66,0.887,50.06,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:51.932401Z,255.64,219.97,0.84,60.85,0.863,49.99,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:51.932401Z,104.72,221.46,0.03,47.79,0.884,50.05,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:51.932401Z,109.16,221.13,0.73,43.78,0.88,49.93,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:52.955628Z,470.66,219.96,1.93,67.77,0.879,50.07,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:52.955628Z,459.34,218.16,2.36,66.54,0.875,50.02,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:52.955628Z,493.91,221.02,1.84,67.6,0.852,49.91,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:52.955628Z,434.08,221.75,1.47,60.07,0.864,49.94,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:52.955628Z,486.28,218.34,2.6,66.76,0.861,50.03,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:52.955628Z,241.6,220.53,0.96,58.51,0.85,50.09,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:52.955628Z,226.97,221.7,1.32,56.51,0.853,50.04,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:52.955628Z,264.84,220.69,1.01,57.43,0.888,50.04,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:52.955628Z,112.34,220.3,0.63,48.39,0.867,50.0,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:52.955628Z,107.31,220.71,0.65,46.56,0.888,49.94,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:53.969887Z,470.35,218.3,2.63,65.33,0.87,50.1,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:53.969887Z,463.72,219.59,2.03,63.55,0.87,50.07,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:53.969887Z,493.07,221.75,1.8,70.17,0.881,50.1,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:53.969887Z,442.04,218.73,1.73,63.69,0.851,49.94,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:53.969887Z,477.22,221.45,2.58,68.65,0.88,50.0,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:53.969887Z,230.07,221.49,0.68,56.98,0.429,54.96,1
SENSOR_B02,PLANT_B,2026-06-28T22:26:53.969887Z,227.84,218.49,1.39,54.19,0.854,49.96,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:53.969887Z,263.9,221.41,1.19,60.53,0.858,50.0,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:53.969887Z,119.04,221.29,0.49,47.86,0.864,50.0,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:53.969887Z,100.28,219.24,0.38,45.39,0.875,49.94,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:54.972998Z,465.06,220.43,2.56,66.15,0.862,49.96,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:54.972998Z,455.26,221.7,2.2,64.4,0.857,50.01,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:54.972998Z,490.38,220.95,2.61,68.47,0.884,50.08,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:54.972998Z,427.26,219.86,1.97,60.76,0.889,49.93,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:54.972998Z,480.88,221.3,2.23,68.28,0.861,50.04,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:54.972998Z,241.42,220.31,1.15,55.81,0.865,49.96,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:54.972998Z,209.53,220.26,0.94,56.6,0.85,49.99,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:54.972998Z,254.19,218.63,1.36,58.61,0.86,49.95,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:54.972998Z,110.17,221.16,0.38,48.26,0.866,50.1,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:54.972998Z,111.42,220.82,0.53,46.31,0.884,49.98,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:55.977017Z,476.59,218.27,2.5,68.44,0.87,49.93,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:55.977017Z,460.61,219.25,2.12,64.93,0.861,50.05,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:55.977017Z,490.17,219.55,2.4,69.92,0.886,49.93,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:55.977017Z,428.59,221.11,1.71,62.17,0.885,50.06,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:55.977017Z,484.41,219.81,2.08,69.03,0.871,50.08,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:55.977017Z,229.83,221.21,0.89,55.93,0.865,49.94,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:55.977017Z,219.6,219.12,0.89,56.74,0.852,49.92,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:55.977017Z,250.26,220.07,1.53,58.05,0.874,49.97,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:55.977017Z,118.95,220.04,0.88,46.51,0.883,50.05,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:55.977017Z,112.12,220.48,0.89,44.07,0.887,49.91,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:56.980748Z,481.26,219.9,2.34,67.48,0.877,50.08,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:56.980748Z,460.4,219.54,1.93,62.6,0.878,49.99,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:56.980748Z,502.19,219.47,2.05,67.35,0.889,50.04,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:56.980748Z,442.17,219.49,2.31,61.18,0.87,49.93,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:56.980748Z,488.03,218.73,2.33,66.8,0.854,49.96,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:56.980748Z,230.59,219.13,0.77,56.04,0.865,49.94,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:56.980748Z,222.04,221.8,0.7,53.77,0.874,50.07,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:56.980748Z,263.91,221.1,0.72,58.79,0.886,50.08,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:56.980748Z,115.99,218.02,0.68,46.02,0.87,49.94,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:56.980748Z,94.62,221.42,0.31,45.13,0.866,50.09,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:57.984723Z,472.04,221.88,2.61,67.58,0.887,50.01,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:57.984723Z,456.6,218.17,2.34,63.13,0.887,49.96,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:57.984723Z,495.61,218.17,2.71,67.89,0.854,50.06,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:57.984723Z,435.8,218.69,2.21,60.16,0.872,49.93,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:57.984723Z,476.83,221.76,2.06,68.64,0.853,49.94,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:57.984723Z,245.45,220.8,1.14,57.44,0.876,50.06,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:57.984723Z,225.69,219.56,0.91,55.49,0.883,49.92,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:57.984723Z,251.42,219.49,0.82,60.65,0.857,49.99,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:57.984723Z,104.38,218.77,0.4,46.12,0.852,49.99,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:57.984723Z,110.53,221.49,0.88,45.8,0.851,50.09,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:58.988382Z,469.21,220.17,2.12,64.63,0.885,50.07,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:58.988382Z,451.52,220.96,1.95,65.63,0.851,49.97,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:58.988382Z,497.04,219.47,2.08,68.24,0.869,50.06,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:58.988382Z,640.8,220.87,1.63,107.78,0.884,50.07,1
SENSOR_A05,PLANT_A,2026-06-28T22:26:58.988382Z,484.2,219.23,2.12,65.53,0.859,49.91,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:58.988382Z,233.29,220.88,1.24,58.66,0.863,50.03,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:58.988382Z,223.82,220.93,1.31,53.51,0.876,49.94,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:58.988382Z,260.77,218.11,1.34,59.0,0.873,50.04,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:58.988382Z,107.01,220.02,0.91,49.36,0.884,49.93,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:58.988382Z,100.98,219.52,0.78,43.96,0.874,50.0,0
SENSOR_A01,PLANT_A,2026-06-28T22:26:59.992169Z,478.69,221.47,1.84,65.22,0.881,50.09,0
SENSOR_A02,PLANT_A,2026-06-28T22:26:59.992169Z,455.73,220.66,2.09,65.16,0.865,49.91,0
SENSOR_A03,PLANT_A,2026-06-28T22:26:59.992169Z,498.8,221.25,2.03,66.48,0.887,49.98,0
SENSOR_A04,PLANT_A,2026-06-28T22:26:59.992169Z,435.51,220.18,1.71,59.88,0.875,50.09,0
SENSOR_A05,PLANT_A,2026-06-28T22:26:59.992169Z,481.27,219.07,2.18,68.65,0.877,49.93,0
SENSOR_B01,PLANT_B,2026-06-28T22:26:59.992169Z,242.2,220.08,1.41,57.61,0.859,49.98,0
SENSOR_B02,PLANT_B,2026-06-28T22:26:59.992169Z,221.41,220.07,0.91,55.91,0.852,49.94,0
SENSOR_B03,PLANT_B,2026-06-28T22:26:59.992169Z,250.17,218.29,0.89,57.44,0.867,50.05,0
SENSOR_C01,PLANT_C,2026-06-28T22:26:59.992169Z,107.83,219.24,0.35,47.69,0.877,49.98,0
SENSOR_C02,PLANT_C,2026-06-28T22:26:59.992169Z,106.24,220.23,0.51,43.85,0.876,50.0,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:00.994140Z,468.74,218.37,2.47,65.75,0.871,50.08,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:00.994140Z,458.06,221.38,2.35,64.26,0.853,50.09,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:00.994140Z,500.78,221.53,2.21,67.39,0.88,50.02,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:00.994140Z,446.61,221.22,1.67,62.3,0.852,49.97,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:00.994140Z,474.64,218.42,2.55,65.5,0.854,49.97,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:00.994140Z,229.31,220.08,0.55,57.35,0.885,49.94,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:00.994140Z,211.08,218.92,0.68,53.14,0.876,49.99,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:00.994140Z,251.86,219.54,1.28,56.93,0.852,49.93,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:00.994140Z,110.98,218.03,0.23,48.64,0.887,50.01,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:00.994140Z,103.11,218.79,0.63,45.74,0.885,50.06,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:02.000753Z,482.52,220.81,2.12,65.33,0.858,49.96,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:02.000753Z,460.98,221.75,2.23,62.95,0.866,49.96,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:02.000753Z,500.38,221.6,2.73,69.97,0.867,50.0,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:02.000753Z,443.55,221.36,2.31,63.67,0.878,49.96,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:02.000753Z,477.42,218.36,2.57,65.55,0.855,50.08,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:02.000753Z,246.62,219.71,1.17,58.02,0.853,50.01,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:02.000753Z,219.3,220.74,0.55,56.63,0.854,50.03,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:02.000753Z,252.68,221.77,0.76,57.33,0.88,49.94,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:02.000753Z,107.06,221.89,0.23,49.45,0.883,50.0,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:02.000753Z,111.88,219.53,0.33,43.73,0.875,49.93,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:03.008985Z,473.74,220.31,1.96,68.28,0.866,49.93,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:03.008985Z,465.49,219.61,2.59,65.44,0.876,50.04,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:03.008985Z,493.56,219.09,2.62,68.45,0.883,50.09,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:03.008985Z,428.82,221.05,2.09,60.58,0.875,50.03,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:03.008985Z,490.14,218.34,2.14,68.13,0.859,50.0,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:03.008985Z,231.89,218.74,1.43,58.72,0.878,50.04,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:03.008985Z,220.66,221.59,1.26,56.12,0.876,49.99,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:03.008985Z,260.94,220.74,1.26,58.92,0.885,50.03,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:03.008985Z,105.7,221.85,0.21,46.87,0.868,50.06,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:03.008985Z,106.18,220.95,0.27,45.48,0.883,50.02,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:04.011789Z,478.45,219.68,2.41,66.03,0.852,50.09,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:04.011789Z,461.27,220.26,2.53,62.68,0.88,50.09,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:04.011789Z,501.95,221.6,2.52,70.19,0.869,49.95,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:04.011789Z,435.75,218.67,1.88,59.99,0.884,50.04,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:04.011789Z,486.32,218.94,2.12,68.2,0.858,50.09,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:04.011789Z,246.09,220.38,1.48,57.78,0.441,53.11,1
SENSOR_B02,PLANT_B,2026-06-28T22:27:04.011789Z,294.62,220.74,1.12,93.76,0.86,49.91,1
SENSOR_B03,PLANT_B,2026-06-28T22:27:04.011789Z,261.95,221.36,1.11,59.02,0.556,54.21,1
SENSOR_C01,PLANT_C,2026-06-28T22:27:04.011789Z,112.66,220.16,0.07,48.29,0.887,50.01,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:04.011789Z,103.71,219.8,0.73,44.42,0.87,50.03,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:05.017764Z,469.99,218.48,2.24,65.6,0.856,49.98,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:05.017764Z,446.05,218.51,1.63,65.96,0.878,49.99,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:05.017764Z,501.83,219.17,2.42,67.57,0.889,49.98,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:05.017764Z,438.97,218.37,2.43,62.33,0.865,49.92,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:05.017764Z,479.93,219.82,2.63,65.86,0.859,50.01,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:05.017764Z,235.55,218.92,1.05,57.62,0.882,49.91,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:05.017764Z,216.17,220.69,1.16,56.85,0.874,49.9,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:05.017764Z,251.75,219.42,1.21,60.65,0.886,50.07,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:05.017764Z,109.83,219.02,0.67,48.0,0.876,50.06,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:05.017764Z,95.32,221.65,0.45,44.62,0.881,49.98,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:06.027781Z,471.32,221.32,1.66,65.15,0.889,50.1,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:06.027781Z,449.06,220.08,2.51,64.03,0.869,50.0,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:06.027781Z,490.34,221.58,1.82,67.34,0.852,50.1,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:06.027781Z,432.91,218.85,2.48,60.92,0.853,50.08,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:06.027781Z,476.37,218.56,2.04,67.37,0.854,50.02,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:06.027781Z,244.54,218.43,1.58,58.08,0.882,50.1,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:06.027781Z,222.67,221.08,0.98,55.65,0.544,53.6,1
SENSOR_B03,PLANT_B,2026-06-28T22:27:06.027781Z,266.3,218.77,0.92,57.57,0.873,50.03,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:06.027781Z,112.54,220.59,0.97,45.68,0.854,50.03,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:06.027781Z,101.43,219.41,0.13,45.3,0.85,49.99,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:07.033951Z,469.93,219.18,2.33,66.62,0.855,50.08,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:07.033951Z,458.09,220.41,2.49,62.67,0.876,49.97,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:07.033951Z,493.48,221.36,2.34,66.6,0.876,50.05,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:07.033951Z,442.16,220.42,2.23,62.16,0.867,50.08,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:07.033951Z,490.74,219.35,2.02,69.26,0.866,49.9,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:07.033951Z,230.7,219.12,1.33,56.89,0.888,50.03,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:07.033951Z,218.49,219.76,0.83,53.68,0.88,49.9,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:07.033951Z,247.62,220.88,1.2,57.28,0.884,50.01,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:07.033951Z,118.07,219.85,0.47,46.68,0.876,49.96,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:07.033951Z,95.58,220.3,-0.06,47.13,0.869,49.91,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:08.046493Z,481.8,220.4,2.38,67.56,0.86,50.03,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:08.046493Z,452.0,218.56,2.53,66.19,0.854,50.07,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:08.046493Z,492.35,218.86,2.41,69.14,0.871,49.91,0
SENSOR_A04,PLANT_A,2026-06-28T22:27:08.046493Z,427.74,221.13,1.45,60.23,0.871,50.0,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:08.046493Z,489.51,219.15,1.86,69.37,0.871,49.95,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:08.046493Z,236.27,218.1,1.19,55.08,0.856,50.05,0
SENSOR_B02,PLANT_B,2026-06-28T22:27:08.046493Z,215.52,218.33,1.18,53.5,0.859,49.91,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:08.046493Z,261.01,221.99,1.26,58.91,0.889,50.02,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:08.046493Z,121.66,219.44,0.57,48.91,0.87,49.98,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:08.046493Z,110.55,221.72,0.69,44.57,0.889,50.08,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:09.051896Z,466.92,219.32,2.57,66.49,0.863,49.95,0
SENSOR_A02,PLANT_A,2026-06-28T22:27:09.051896Z,463.26,220.47,1.7,64.36,0.883,49.93,0
SENSOR_A03,PLANT_A,2026-06-28T22:27:09.051896Z,489.01,219.83,2.55,68.75,0.543,53.21,1
SENSOR_A04,PLANT_A,2026-06-28T22:27:09.051896Z,437.35,220.05,1.54,63.42,0.882,50.05,0
SENSOR_A05,PLANT_A,2026-06-28T22:27:09.051896Z,493.42,221.2,1.8,66.83,0.861,50.08,0
SENSOR_B01,PLANT_B,2026-06-28T22:27:09.051896Z,489.91,220.82,2.69,58.56,0.887,49.91,1
SENSOR_B02,PLANT_B,2026-06-28T22:27:09.051896Z,213.64,219.54,1.45,56.9,0.861,50.08,0
SENSOR_B03,PLANT_B,2026-06-28T22:27:09.051896Z,258.77,219.08,1.68,58.72,0.857,50.09,0
SENSOR_C01,PLANT_C,2026-06-28T22:27:09.051896Z,117.36,219.85,0.97,47.41,0.864,50.1,0
SENSOR_C02,PLANT_C,2026-06-28T22:27:09.051896Z,111.93,221.82,0.94,45.97,0.885,50.0,0
SENSOR_A01,PLANT_A,2026-06-28T22:27:10.054968Z,479.0,219.47,1.83,66.0,0.852,49.98,0
